"Passenger rail transport by type of transport"

"Total"	"Number of passengers (1000s)"	"Poland"	..	..	..	..	..	..	..	..	..	..	..	..	789922	651991	549302	541089	494617	383231	334840	330313	324467	324719	360687	332217	304025	283359	272162	258110	265323	279657	291892	282619	261314	263609	273182	269815	268204	277321	291981	303001	..
"Total"	"Number of passengers (1000s)"	"Portugal"	..	..	..	..	..	..	..	..	..	..	..	..	225882	223631	224621	208588	201356	187533	177094	178130	177965	167535	160083	160856	160058	..	..	..	154635	156712	158455	153794	153010	149060	132212	126079	128295	130421	133890	141876	..
"Total"	"Number of passengers (1000s)"	"Republic of Moldova"	..	..	..	..	..	..	..	..	..	..	..	..	20000	12900	14000	12700	14921	11721	10373	10285	9412	5410	4798	4779	5052	5282	5111	5024	5284	5591	..	5187	4964	4711	4341	4092	3838	3268	2258	1814	1710
"Total"	"Number of passengers (1000s)"	"Romania"	..	..	..	..	..	..	..	..	..	..	..	..	407931	362583	323758	225397	206920	210738	212893	186615	146800	129339	117501	113718	95618	94810	99434	92424	94441	88263	78252	70332	64272	61000	57562	57433	64760	66482	64456	69057	..
"Total"	"Number of passengers (1000s)"	"Russian Federation"	..	..	..	..	..	..	..	..	..	..	..	..	3143000	2676575	2372320	2323510	2062029	1832971	1662616	1599604	1208000	1337509	1418780	1305873	1270679	1303534	1335128	1338723	1338643	1281943	1295567	1137000	946510	993144	1058799	1079565	..	..	..	..	..
"Total"	"Number of passengers (1000s)"	"Serbia"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6445	5974	5618	5358	5270	6123	5917	7158	6443	6258	..	5638	..
"Total"	"Number of passengers (1000s)"	"Slovakia"	..	..	..	..	..	..	..	..	..	..	..	..	119262	111753	106724	86727	99101	89471	74294	71489	70008	69431	66806	63473	59430	51274	50325	50458	48438	47070	48744	46667	46583	47531	44698	46064	49272	60566	69525	75370	..
"Total"	"Number of passengers (1000s)"	"Slovenia"	..	..	..	..	..	..	..	..	..	..	..	..	21096	15287	12286	12636	13105	13307	13683	13568	13907	13756	15010	14484	14519	15066	14835	15742	16131	16123	16661	16355	16220	15743	15512	16420	14837	14558	14008	13422	13554
"Total"	"Number of passengers (1000s)"	"Spain"	..	..	..	..	..	..	..	..	..	..	..	..	274350	316327	355000	339000	352000	365503	377890	395220	402170	418904	438872	466831	485455	..	484461	505443	516950	507318	499745	466658	453747	467860	463674	..	..	..	..	..	..
"Total"	"Number of passengers (1000s)"	"Sweden"	..	..	..	..	..	..	..	..	..	..	..	..	82785	82296	89200	92700	94140	98371	98988	106783	110949	114015	49612	139000	143000	145000	147000	150000	159000	169000	179000	179000	179000	187000	193163	200706	207280	214434	220945	229816	246490
"Total"	"Number of passengers (1000s)"	"Switzerland"	..	..	..	..	..	..	..	..	..	..	..	..	244300	251100	248100	254545	263611	200200	205200	206700	294472	296566	303452	300564	318904	340148	352735	385194	405199	433814	462130	472428	493777	513402	515455	541910	568539	587752	607328	612680	611331
"Total"	"Number of passengers (1000s)"	"Tajikistan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	708	593	478	640	719	639	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Total"	"Number of passengers (1000s)"	"Turkey"	..	..	..	..	..	..	..	..	..	..	..	..	139089	133243	131252	146318	119533	104635	98315	107053	109774	98931	85343	76323	73088	76993	76756	76306	77414	81260	79187	80092	84173	85752	70284	46441	78404	95317	89038	85338	..
"Total"	"Number of passengers (1000s)"	"Turkmenistan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7402	4576	5496	7774	6449	3049	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
